2026-08-14 07:34:48,247 | INFO    | test | START tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation
2026-08-14 07:34:48,282 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:34:48,282 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 07:34:48,286 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:34:48,287 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 07:34:48,290 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:34:48,291 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (3 ms)
2026-08-14 07:34:48,296 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 07:34:48,296 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (4 ms)
2026-08-14 07:34:48,301 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 07:34:48,301 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (3 ms)
2026-08-14 07:34:48,308 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/orders/ord_8b36a6324b85 "HTTP/1.1 200 OK"
2026-08-14 07:34:48,309 | INFO    | framework.http | GET http://127.0.0.1:8000/api/orders/ord_8b36a6324b85 -> 200 (7 ms)
2026-08-14 07:34:48,313 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:34:48,314 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:34:48,316 | INFO    | test | END   tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation (0.07s)
