2026-08-14 07:34:48,314 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[-1-422-negative]
2026-08-14 07:34:48,350 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:34:48,350 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (4 ms)
2026-08-14 07:34:48,353 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:34:48,353 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:34:48,359 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:34:48,359 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 07:34:48,363 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 422 Unprocessable Entity"
2026-08-14 07:34:48,364 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 422 (3 ms)
2026-08-14 07:34:48,387 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:34:48,387 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (21 ms)
2026-08-14 07:34:48,391 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[-1-422-negative] (0.08s)
