2026-08-14 07:34:48,338 | INFO    | test | START tests/services/test_cart_flow.py::test_order_belongs_to_its_owner
2026-08-14 07:34:48,387 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:34:48,387 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (19 ms)
2026-08-14 07:34:48,391 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:34:48,391 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 07:34:48,395 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:34:48,395 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 07:34:48,398 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 07:34:48,399 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (3 ms)
2026-08-14 07:34:48,428 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-14 07:34:48,457 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:34:48,457 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 07:34:48,461 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 07:34:48,462 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (3 ms)
2026-08-14 07:34:48,464 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/orders/ord_6766a1784905 "HTTP/1.1 200 OK"
2026-08-14 07:34:48,464 | INFO    | framework.http | GET http://127.0.0.1:8000/api/orders/ord_6766a1784905 -> 200 (1 ms)
2026-08-14 07:34:48,545 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:34:48,545 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:34:48,547 | INFO    | test | END   tests/services/test_cart_flow.py::test_order_belongs_to_its_owner (0.21s)
