2026-08-14 07:34:48,254 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[0-422-below minimum]
2026-08-14 07:34:48,287 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:34:48,287 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 07:34:48,291 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:34:48,291 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 07:34:48,295 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:34:48,296 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 07:34:48,300 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 422 Unprocessable Entity"
2026-08-14 07:34:48,301 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 422 (4 ms)
2026-08-14 07:34:48,308 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:34:48,309 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (5 ms)
2026-08-14 07:34:48,310 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[0-422-below minimum] (0.06s)
