2026-08-14 07:39:18,658 | INFO    | test | START tests/services/test_cart_flow.py::test_order_belongs_to_its_owner
2026-08-14 07:39:18,675 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:39:18,675 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (1 ms)
2026-08-14 07:39:18,678 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,678 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:39:18,693 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:39:18,693 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (15 ms)
2026-08-14 07:39:18,695 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 07:39:18,695 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (2 ms)
2026-08-14 07:39:18,717 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-14 07:39:18,734 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:39:18,735 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (1 ms)
2026-08-14 07:39:18,736 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 07:39:18,737 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (1 ms)
2026-08-14 07:39:18,738 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/orders/ord_62b6202e0fe9 "HTTP/1.1 200 OK"
2026-08-14 07:39:18,738 | INFO    | framework.http | GET http://127.0.0.1:8000/api/orders/ord_62b6202e0fe9 -> 200 (1 ms)
2026-08-14 07:39:18,783 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,783 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (1 ms)
2026-08-14 07:39:18,784 | INFO    | test | END   tests/services/test_cart_flow.py::test_order_belongs_to_its_owner (0.13s)
