2026-08-14 07:39:18,556 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[2-201-numeric string \u2014 coerced by the API]
2026-08-14 07:39:18,579 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:39:18,579 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 07:39:18,584 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,584 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (5 ms)
2026-08-14 07:39:18,588 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:39:18,589 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 07:39:18,591 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 07:39:18,591 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (1 ms)
2026-08-14 07:39:18,595 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,595 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 07:39:18,599 | INFO    | httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/cart/items/1 "HTTP/1.1 200 OK"
2026-08-14 07:39:18,599 | INFO    | framework.http | DELETE http://127.0.0.1:8000/api/cart/items/1 -> 200 (4 ms)
2026-08-14 07:39:18,601 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[2-201-numeric string \u2014 coerced by the API] (0.04s)
