2026-08-14 07:39:18,604 | INFO    | test | START tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation
2026-08-14 07:39:18,625 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:39:18,626 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 07:39:18,630 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,630 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 07:39:18,632 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:39:18,632 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 07:39:18,635 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 07:39:18,635 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (2 ms)
2026-08-14 07:39:18,638 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 07:39:18,638 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (2 ms)
2026-08-14 07:39:18,640 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/orders/ord_2f3dcaaf734e "HTTP/1.1 200 OK"
2026-08-14 07:39:18,640 | INFO    | framework.http | GET http://127.0.0.1:8000/api/orders/ord_2f3dcaaf734e -> 200 (1 ms)
2026-08-14 07:39:18,652 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,652 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (1 ms)
2026-08-14 07:39:18,653 | INFO    | test | END   tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation (0.05s)
