2026-08-14 07:39:18,473 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-14 07:39:18,474 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[100-422-above maximum]
2026-08-14 07:39:18,495 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:39:18,495 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (1 ms)
2026-08-14 07:39:18,499 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,500 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (4 ms)
2026-08-14 07:39:18,505 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:39:18,505 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (3 ms)
2026-08-14 07:39:18,509 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 422 Unprocessable Entity"
2026-08-14 07:39:18,509 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 422 (3 ms)
2026-08-14 07:39:18,511 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,512 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (1 ms)
2026-08-14 07:39:18,513 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[100-422-above maximum] (0.04s)
