2026-08-14 07:42:36,621 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-14 07:42:36,623 | INFO    | test | START tests/services/test_cart_flow.py::test_cannot_add_out_of_stock_product
2026-08-14 07:42:36,658 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:42:36,659 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 07:42:36,662 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:42:36,662 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:42:36,667 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=false "HTTP/1.1 200 OK"
2026-08-14 07:42:36,667 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=false -> 200 (3 ms)
2026-08-14 07:42:36,672 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 409 Conflict"
2026-08-14 07:42:36,672 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 409 (4 ms)
2026-08-14 07:42:36,677 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:42:36,677 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 07:42:36,679 | INFO    | test | END   tests/services/test_cart_flow.py::test_cannot_add_out_of_stock_product (0.06s)
