2026-08-14 07:42:36,829 | INFO    | test | START tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation
2026-08-14 07:42:36,870 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:42:36,870 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 07:42:36,875 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:42:36,876 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 07:42:36,878 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:42:36,878 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (1 ms)
2026-08-14 07:42:36,883 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 07:42:36,884 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (4 ms)
2026-08-14 07:42:36,889 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 07:42:36,889 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (4 ms)
2026-08-14 07:42:36,894 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/orders/ord_f7af28608a26 "HTTP/1.1 200 OK"
2026-08-14 07:42:36,894 | INFO    | framework.http | GET http://127.0.0.1:8000/api/orders/ord_f7af28608a26 -> 200 (4 ms)
2026-08-14 07:42:36,898 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:42:36,899 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:42:36,901 | INFO    | test | END   tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation (0.07s)
