2026-08-14 08:33:44,031 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[-1-422-negative]
2026-08-14 08:33:44,071 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:33:44,072 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (10 ms)
2026-08-14 08:33:44,074 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,074 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (1 ms)
2026-08-14 08:33:44,101 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 08:33:44,101 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (25 ms)
2026-08-14 08:33:44,104 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 422 Unprocessable Entity"
2026-08-14 08:33:44,104 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 422 (2 ms)
2026-08-14 08:33:44,110 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,110 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:44,112 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[-1-422-negative] (0.08s)
