2026-08-14 08:33:44,174 | INFO    | test | START tests/services/test_cart_flow.py::test_removing_a_product_that_is_not_in_the_cart_is_idempotent
2026-08-14 08:33:44,199 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:33:44,199 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 08:33:44,205 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,205 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (5 ms)
2026-08-14 08:33:44,209 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 08:33:44,209 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 08:33:44,212 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 08:33:44,212 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (2 ms)
2026-08-14 08:33:44,214 | INFO    | httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/cart/items/1 "HTTP/1.1 200 OK"
2026-08-14 08:33:44,214 | INFO    | framework.http | DELETE http://127.0.0.1:8000/api/cart/items/1 -> 200 (2 ms)
2026-08-14 08:33:44,216 | INFO    | httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/cart/items/1 "HTTP/1.1 200 OK"
2026-08-14 08:33:44,216 | INFO    | framework.http | DELETE http://127.0.0.1:8000/api/cart/items/1 -> 200 (1 ms)
2026-08-14 08:33:44,219 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,219 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (1 ms)
2026-08-14 08:33:44,221 | INFO    | test | END   tests/services/test_cart_flow.py::test_removing_a_product_that_is_not_in_the_cart_is_idempotent (0.05s)
