2026-08-14 08:33:44,444 | INFO    | test | START tests/services/test_contract_and_properties.py::test_cart_total_always_equals_sum_of_lines
2026-08-14 08:33:44,480 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:33:44,480 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 08:33:44,483 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,484 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:44,493 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,494 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:44,496 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 08:33:44,496 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 08:33:44,500 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 08:33:44,500 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (3 ms)
2026-08-14 08:33:44,502 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,502 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:44,506 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,506 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:44,508 | INFO    | httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/cart/items/1 "HTTP/1.1 200 OK"
2026-08-14 08:33:44,509 | INFO    | framework.http | DELETE http://127.0.0.1:8000/api/cart/items/1 -> 200 (2 ms)
2026-08-14 08:33:44,511 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 08:33:44,511 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
