2026-08-14 08:33:43,845 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[1-201-minimum valid]
2026-08-14 08:33:43,878 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:33:43,878 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 08:33:43,885 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:43,886 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (6 ms)
2026-08-14 08:33:43,891 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 08:33:43,891 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 08:33:43,897 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 08:33:43,897 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (6 ms)
2026-08-14 08:33:43,904 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:43,904 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 08:33:43,907 | INFO    | httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/cart/items/1 "HTTP/1.1 200 OK"
2026-08-14 08:33:43,907 | INFO    | framework.http | DELETE http://127.0.0.1:8000/api/cart/items/1 -> 200 (2 ms)
2026-08-14 08:33:43,909 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[1-201-minimum valid] (0.06s)
