2026-08-14 08:33:43,980 | INFO    | test | START tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation
2026-08-14 08:33:44,015 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:33:44,015 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (4 ms)
2026-08-14 08:33:44,019 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,019 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 08:33:44,023 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 08:33:44,023 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (3 ms)
2026-08-14 08:33:44,026 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 08:33:44,027 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (2 ms)
2026-08-14 08:33:44,031 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 08:33:44,031 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (2 ms)
2026-08-14 08:33:44,033 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/orders/ord_7b7e2dcd2213 "HTTP/1.1 200 OK"
2026-08-14 08:33:44,033 | INFO    | framework.http | GET http://127.0.0.1:8000/api/orders/ord_7b7e2dcd2213 -> 200 (2 ms)
2026-08-14 08:33:44,037 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,037 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:44,039 | INFO    | test | END   tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation (0.06s)
