2026-08-14 08:33:43,907 | INFO    | test | START tests/services/test_cart_flow.py::test_checkout_creates_order_and_empties_cart
2026-08-14 08:33:43,939 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:33:43,939 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 08:33:43,942 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:43,943 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:43,948 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 08:33:43,948 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (4 ms)
2026-08-14 08:33:43,953 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 08:33:43,953 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (4 ms)
2026-08-14 08:33:43,960 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:43,960 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (5 ms)
2026-08-14 08:33:43,964 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 08:33:43,965 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (3 ms)
2026-08-14 08:33:43,968 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:43,971 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (6 ms)
2026-08-14 08:33:43,975 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:43,976 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:43,978 | INFO    | test | END   tests/services/test_cart_flow.py::test_checkout_creates_order_and_empties_cart (0.07s)
