2026-08-14 08:33:43,786 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-14 08:33:43,787 | INFO    | test | START tests/services/test_cart_flow.py::test_cannot_add_out_of_stock_product
2026-08-14 08:33:43,819 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:33:43,819 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 08:33:43,826 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:43,826 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (6 ms)
2026-08-14 08:33:43,833 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=false "HTTP/1.1 200 OK"
2026-08-14 08:33:43,833 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=false -> 200 (5 ms)
2026-08-14 08:33:43,835 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 409 Conflict"
2026-08-14 08:33:43,835 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 409 (1 ms)
2026-08-14 08:33:43,839 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:43,840 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:43,841 | INFO    | test | END   tests/services/test_cart_flow.py::test_cannot_add_out_of_stock_product (0.05s)
