2026-08-14 08:33:44,103 | INFO    | test | START tests/services/test_cart_flow.py::test_order_belongs_to_its_owner
2026-08-14 08:33:44,138 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:33:44,139 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (5 ms)
2026-08-14 08:33:44,142 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,142 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:44,144 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 08:33:44,144 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (1 ms)
2026-08-14 08:33:44,146 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 08:33:44,146 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (1 ms)
2026-08-14 08:33:44,174 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-14 08:33:44,198 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:33:44,199 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 08:33:44,205 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 08:33:44,205 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (5 ms)
2026-08-14 08:33:44,207 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/orders/ord_903145b43bd2 "HTTP/1.1 200 OK"
2026-08-14 08:33:44,207 | INFO    | framework.http | GET http://127.0.0.1:8000/api/orders/ord_903145b43bd2 -> 200 (1 ms)
2026-08-14 08:33:44,346 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,346 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:44,348 | INFO    | test | END   tests/services/test_cart_flow.py::test_order_belongs_to_its_owner (0.25s)
