2026-08-14 08:33:43,960 | INFO    | test | START tests/services/test_cart_flow.py::test_adding_same_product_twice_increments_quantity
2026-08-14 08:33:43,993 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:33:43,994 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 08:33:43,997 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:43,998 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 08:33:44,001 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 08:33:44,001 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (1 ms)
2026-08-14 08:33:44,003 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 08:33:44,004 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (2 ms)
2026-08-14 08:33:44,008 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 08:33:44,009 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (4 ms)
2026-08-14 08:33:44,013 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,013 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 08:33:44,017 | INFO    | httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/cart/items/1 "HTTP/1.1 200 OK"
2026-08-14 08:33:44,018 | INFO    | framework.http | DELETE http://127.0.0.1:8000/api/cart/items/1 -> 200 (4 ms)
2026-08-14 08:33:44,020 | INFO    | test | END   tests/services/test_cart_flow.py::test_adding_same_product_twice_increments_quantity (0.06s)
