2026-08-14 09:25:50,276 | INFO    | test | START tests/web/test_shopping_flow.py::test_cart_survives_a_page_reload[chromium]
2026-08-14 09:25:50,646 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 09:25:50,647 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (7 ms)
2026-08-14 09:25:50,651 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:25:50,652 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 09:25:50,658 | INFO    | httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/cart/items/1 "HTTP/1.1 200 OK"
2026-08-14 09:25:50,658 | INFO    | framework.http | DELETE http://127.0.0.1:8000/api/cart/items/1 -> 200 (6 ms)
2026-08-14 09:25:50,664 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 09:25:50,664 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (5 ms)
2026-08-14 09:25:50,672 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 09:25:50,672 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (4 ms)
2026-08-14 09:25:51,168 | INFO    | test | END   tests/web/test_shopping_flow.py::test_cart_survives_a_page_reload[chromium] (0.89s)
