2026-08-14 09:24:22,325 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[99-201-maximum valid]
2026-08-14 09:24:22,363 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 09:24:22,363 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (5 ms)
2026-08-14 09:24:22,374 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:24:22,374 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (4 ms)
2026-08-14 09:24:22,383 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 09:24:22,384 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (7 ms)
2026-08-14 09:24:22,391 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 09:24:22,391 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (7 ms)
2026-08-14 09:24:22,399 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:24:22,399 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 09:24:22,404 | INFO    | httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/cart/items/1 "HTTP/1.1 200 OK"
2026-08-14 09:24:22,404 | INFO    | framework.http | DELETE http://127.0.0.1:8000/api/cart/items/1 -> 200 (4 ms)
2026-08-14 09:24:22,406 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[99-201-maximum valid] (0.08s)
