2026-08-14 09:24:22,394 | INFO    | test | START tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation
2026-08-14 09:24:22,430 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 09:24:22,430 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 09:24:22,432 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:24:22,432 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (1 ms)
2026-08-14 09:24:22,439 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 09:24:22,439 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (5 ms)
2026-08-14 09:24:22,443 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 09:24:22,444 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (4 ms)
2026-08-14 09:24:22,450 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 09:24:22,450 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (5 ms)
2026-08-14 09:24:22,455 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/orders/ord_6b787fd655a2 "HTTP/1.1 200 OK"
2026-08-14 09:24:22,456 | INFO    | framework.http | GET http://127.0.0.1:8000/api/orders/ord_6b787fd655a2 -> 200 (5 ms)
2026-08-14 09:24:22,460 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:24:22,460 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 09:24:22,462 | INFO    | test | END   tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation (0.07s)
