2026-08-14 09:46:12,040 | INFO    | test | START tests/services/test_contract_and_properties.py::test_search_never_crashes_and_never_returns_unrelated_items
2026-08-14 09:46:12,093 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q= "HTTP/1.1 200 OK"
2026-08-14 09:46:12,093 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q= -> 200 (4 ms)
2026-08-14 09:46:12,099 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C2%8D%C2%96%28%C3%85%C3%99%C2%8A%1A%C3%8DX%C2%BD%C2%86%C2%AC%E4%A8%BD%C2%A9%F0%AD%80%915%F2%B1%A1%88%00z%F0%B7%94%B9%C2%8B "HTTP/1.1 200 OK"
2026-08-14 09:46:12,099 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C2%8D%C2%96%28%C3%85%C3%99%C2%8A%1A%C3%8DX%C2%BD%C2%86%C2%AC%E4%A8%BD%C2%A9%F0%AD%80%915%F2%B1%A1%88%00z%F0%B7%94%B9%C2%8B -> 200 (2 ms)
2026-08-14 09:46:12,104 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=t%F2%A1%90%98%C3%9D8%F2%96%9B%BB%C3%8A "HTTP/1.1 200 OK"
2026-08-14 09:46:12,104 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=t%F2%A1%90%98%C3%9D8%F2%96%9B%BB%C3%8A -> 200 (2 ms)
2026-08-14 09:46:12,109 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%F1%B5%84%8B%F4%82%B2%A1 "HTTP/1.1 200 OK"
2026-08-14 09:46:12,109 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%F1%B5%84%8B%F4%82%B2%A1 -> 200 (2 ms)
2026-08-14 09:46:12,113 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C2%A5 "HTTP/1.1 200 OK"
2026-08-14 09:46:12,113 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C2%A5 -> 200 (2 ms)
2026-08-14 09:46:12,117 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%F1%8E%8D%B9%C2%8B%C3%B6%C2%AAk%C3%9A "HTTP/1.1 200 OK"
2026-08-14 09:46:12,118 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%F1%8E%8D%B9%C2%8B%C3%B6%C2%AAk%C3%9A -> 200 (2 ms)
2026-08-14 09:46:12,121 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C2%AC "HTTP/1.1 200 OK"
2026-08-14 09:46:12,121 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C2%AC -> 200 (2 ms)
2026-08-14 09:46:12,128 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=config "HTTP/1.1 200 OK"
2026-08-14 09:46:12,129 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=config -> 200 (2 ms)
2026-08-14 09:46:12,132 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C3%BFs%04%C2%BDe%C3%93 "HTTP/1.1 200 OK"
2026-08-14 09:46:12,132 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C3%BFs%04%C2%BDe%C3%93 -> 200 (2 ms)
2026-08-14 09:46:12,136 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%11%F0%B9%AF%A8%C3%BB%7B%C2%B5%C2%85%F4%84%B3%9D "HTTP/1.1 200 OK"
2026-08-14 09:46:12,136 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%11%F0%B9%AF%A8%C3%BB%7B%C2%B5%C2%85%F4%84%B3%9D -> 200 (2 ms)
2026-08-14 09:46:12,141 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C3%9Cn%03%C3%B98 "HTTP/1.1 200 OK"
2026-08-14 09:46:12,141 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C3%9Cn%03%C3%B98 -> 200 (2 ms)
2026-08-14 09:46:12,145 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%7F%C3%94%F0%90%9D%95%C2%AE "HTTP/1.1 200 OK"
2026-08-14 09:46:12,146 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%7F%C3%94%F0%90%9D%95%C2%AE -> 200 (3 ms)
2026-08-14 09:46:12,149 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C3%BD%05%3F%C2%9B "HTTP/1.1 200 OK"
2026-08-14 09:46:12,149 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C3%BD%05%3F%C2%9B -> 200 (1 ms)
2026-08-14 09:46:12,154 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C2%82F%F4%8B%93%91 "HTTP/1.1 200 OK"
2026-08-14 09:46:12,154 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C2%82F%F4%8B%93%91 -> 200 (3 ms)
2026-08-14 09:46:12,157 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C2%8C%C2%80%F1%99%9A%B1%C2%9Bx "HTTP/1.1 200 OK"
2026-08-14 09:46:12,158 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C2%8C%C2%80%F1%99%9A%B1%C2%9Bx -> 200 (2 ms)
2026-08-14 09:46:12,162 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%11Fp%F3%B0%A5%86%C2%9C%F2%8D%8F%BF%13U%C2%ACtr%17%F3%B4%BD%A8%C2%B81~M%07X3%F1%AB%85%AC%C3%AANO%F0%9B%8D%96 "HTTP/1.1 200 OK"
2026-08-14 09:46:12,162 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%11Fp%F3%B0%A5%86%C2%9C%F2%8D%8F%BF%13U%C2%ACtr%17%F3%B4%BD%A8%C2%B81~M%07X3%F1%AB%85%AC%C3%AANO%F0%9B%8D%96 -> 200 (2 ms)
2026-08-14 09:46:12,167 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C2%98%C3%93%C3%9A%C3%A0%02%7F%C2%93%14%C3%99%C2%85%26%C3%B9W0%13%C2%99%3A%C3%A0 "HTTP/1.1 200 OK"
2026-08-14 09:46:12,167 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C2%98%C3%93%C3%9A%C3%A0%02%7F%C2%93%14%C3%99%C2%85%26%C3%B9W0%13%C2%99%3A%C3%A0 -> 200 (2 ms)
2026-08-14 09:46:12,172 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C3%A7%F3%9D%99%BD "HTTP/1.1 200 OK"
2026-08-14 09:46:12,173 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C3%A7%F3%9D%99%BD -> 200 (2 ms)
2026-08-14 09:46:12,177 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C2%9E%F4%8A%A2%9A%C2%9A "HTTP/1.1 200 OK"
2026-08-14 09:46:12,177 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?q=%C2%9E%F4%8A%A2%9A%C2%9A -> 200 (2 ms)
2026-08-14 09:46:12,181 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?q=%C2%A1%C3%A9 "HTTP/1.1 200 OK"
