2026-08-14 09:46:10,636 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[1-201-minimum valid]
2026-08-14 09:46:10,672 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 09:46:10,673 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 09:46:10,678 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:46:10,679 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (5 ms)
2026-08-14 09:46:10,685 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 09:46:10,686 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (4 ms)
2026-08-14 09:46:10,692 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 09:46:10,692 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (6 ms)
2026-08-14 09:46:10,699 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:46:10,699 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 09:46:10,703 | INFO    | httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/cart/items/1 "HTTP/1.1 200 OK"
2026-08-14 09:46:10,704 | INFO    | framework.http | DELETE http://127.0.0.1:8000/api/cart/items/1 -> 200 (3 ms)
2026-08-14 09:46:10,706 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[1-201-minimum valid] (0.07s)
