2026-08-14 09:46:10,584 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-14 09:46:10,585 | INFO    | test | START tests/services/test_cart_flow.py::test_adding_unknown_product_is_rejected[-1]
2026-08-14 09:46:10,621 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 09:46:10,621 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (4 ms)
2026-08-14 09:46:10,626 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:46:10,626 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (4 ms)
2026-08-14 09:46:10,631 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 404 Not Found"
2026-08-14 09:46:10,631 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 404 (2 ms)
2026-08-14 09:46:10,635 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:46:10,635 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 09:46:10,637 | INFO    | test | END   tests/services/test_cart_flow.py::test_adding_unknown_product_is_rejected[-1] (0.05s)
