2026-08-14 09:46:10,786 | INFO    | test | START tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation
2026-08-14 09:46:10,824 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 09:46:10,824 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 09:46:10,828 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:46:10,829 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 09:46:10,833 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 09:46:10,834 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (3 ms)
2026-08-14 09:46:10,841 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 09:46:10,841 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (6 ms)
2026-08-14 09:46:10,851 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 09:46:10,851 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (8 ms)
2026-08-14 09:46:10,861 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/orders/ord_8dc62e8ac808 "HTTP/1.1 200 OK"
2026-08-14 09:46:10,861 | INFO    | framework.http | GET http://127.0.0.1:8000/api/orders/ord_8dc62e8ac808 -> 200 (9 ms)
2026-08-14 09:46:10,865 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:46:10,865 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 09:46:10,867 | INFO    | test | END   tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation (0.08s)
