2026-08-14 09:47:19,175 | INFO    | test | START tests/web/test_shopping_flow.py::test_cart_survives_a_page_reload[chromium]
2026-08-14 09:47:19,536 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 09:47:19,536 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (8 ms)
2026-08-14 09:47:19,547 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:47:19,548 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (6 ms)
2026-08-14 09:47:19,558 | INFO    | httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/cart/items/1 "HTTP/1.1 200 OK"
2026-08-14 09:47:19,558 | INFO    | framework.http | DELETE http://127.0.0.1:8000/api/cart/items/1 -> 200 (7 ms)
2026-08-14 09:47:19,562 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 09:47:19,563 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (4 ms)
2026-08-14 09:47:19,569 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 09:47:19,569 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (5 ms)
2026-08-14 09:47:20,235 | INFO    | test | END   tests/web/test_shopping_flow.py::test_cart_survives_a_page_reload[chromium] (1.06s)
