2026-08-13 21:03:09,213 | INFO    | test | START tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation
2026-08-13 21:03:09,248 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-13 21:03:09,248 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-13 21:03:09,251 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-13 21:03:09,252 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-13 21:03:09,256 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-13 21:03:09,256 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (4 ms)
2026-08-13 21:03:09,259 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-13 21:03:09,260 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (2 ms)
2026-08-13 21:03:09,266 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-13 21:03:09,266 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (5 ms)
2026-08-13 21:03:09,268 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/orders/ord_64625f9e4f92 "HTTP/1.1 200 OK"
2026-08-13 21:03:09,269 | INFO    | framework.http | GET http://127.0.0.1:8000/api/orders/ord_64625f9e4f92 -> 200 (2 ms)
2026-08-13 21:03:09,273 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-13 21:03:09,273 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-13 21:03:09,275 | INFO    | test | END   tests/services/test_cart_flow.py::test_order_is_retrievable_after_creation (0.06s)
