2026-08-13 21:03:09,019 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-13 21:03:09,020 | INFO    | test | START tests/services/test_cart_flow.py::test_adding_unknown_product_is_rejected[-1]
2026-08-13 21:03:09,056 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-13 21:03:09,057 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-13 21:03:09,063 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-13 21:03:09,064 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (6 ms)
2026-08-13 21:03:09,069 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 404 Not Found"
2026-08-13 21:03:09,069 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 404 (3 ms)
2026-08-13 21:03:09,074 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-13 21:03:09,074 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-13 21:03:09,076 | INFO    | test | END   tests/services/test_cart_flow.py::test_adding_unknown_product_is_rejected[-1] (0.06s)
