2026-08-13 21:39:58,891 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[0-422-below minimum]
2026-08-13 21:39:58,922 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-13 21:39:58,922 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-13 21:39:58,924 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-13 21:39:58,925 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-13 21:39:58,929 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-13 21:39:58,929 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (1 ms)
2026-08-13 21:39:58,931 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 422 Unprocessable Entity"
2026-08-13 21:39:58,931 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 422 (1 ms)
2026-08-13 21:39:58,936 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-13 21:39:58,936 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-13 21:39:58,938 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[0-422-below minimum] (0.05s)
