2026-08-13 21:39:58,941 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[-1-422-negative]
2026-08-13 21:39:58,982 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-13 21:39:58,982 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (9 ms)
2026-08-13 21:39:58,985 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-13 21:39:58,986 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-13 21:39:58,990 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-13 21:39:58,990 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-13 21:39:58,992 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 422 Unprocessable Entity"
2026-08-13 21:39:58,992 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 422 (1 ms)
2026-08-13 21:39:58,996 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-13 21:39:58,996 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-13 21:39:58,999 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[-1-422-negative] (0.06s)
