2026-08-14 04:08:21,459 | INFO    | test | START tests/services/test_cart_flow.py::test_order_belongs_to_its_owner
2026-08-14 04:08:21,491 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 04:08:21,491 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 04:08:21,493 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 04:08:21,493 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 04:08:21,496 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 04:08:21,496 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 04:08:21,500 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 04:08:21,501 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (4 ms)
2026-08-14 04:08:21,527 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-14 04:08:21,559 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 04:08:21,559 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 04:08:21,562 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 04:08:21,563 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (2 ms)
2026-08-14 04:08:21,568 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/orders/ord_82e8a068a9f7 "HTTP/1.1 200 OK"
2026-08-14 04:08:21,568 | INFO    | framework.http | GET http://127.0.0.1:8000/api/orders/ord_82e8a068a9f7 -> 200 (3 ms)
2026-08-14 04:08:21,729 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 04:08:21,729 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 04:08:21,731 | INFO    | test | END   tests/services/test_cart_flow.py::test_order_belongs_to_its_owner (0.27s)
