2026-08-14 04:08:21,318 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[0-422-below minimum]
2026-08-14 04:08:21,356 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 04:08:21,357 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (6 ms)
2026-08-14 04:08:21,360 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 04:08:21,360 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 04:08:21,366 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 04:08:21,366 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (4 ms)
2026-08-14 04:08:21,378 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 422 Unprocessable Entity"
2026-08-14 04:08:21,379 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 422 (11 ms)
2026-08-14 04:08:21,385 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 04:08:21,386 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (4 ms)
2026-08-14 04:08:21,388 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[0-422-below minimum] (0.07s)
