"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Injection strings should be *data*, not code.

    Deliberately `parametrize`, not `@given(st.sampled_from(...))`: when the
    inputs are a fixed, hand-curated list, parametrize gives one test id per
    payload, works with function-scoped fixtures, and doesn't pay Hypothesis's
    machinery cost. Reach for Hypothesis when you want inputs you did *not*
    think of — see the fuzz test above.
    ","5","test_search_rejects_injection_payloads_safely[{{7*7}}]","tests.services","2026-08-14","passed","2026-08-14","","test_contract_and_properties","",""
"WCAG 2.2 (2.5.8) asks for 24x24 CSS px; iOS HIG and Material both say 44-48.
    This asserts the stricter, humane 44px on interactive controls.","650","test_touch_targets_meet_the_minimum_size[iPhone 15-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","268","test_mobile_nav_opens_and_is_announced[iPad (gen 7)-webkit]","tests.web","2026-08-14","skipped","2026-08-14","","test_mobile_web","",""
"Rotation is a state change most suites never exercise — and a reliable
    source of clipped headers and stuck modals.","1541","test_layout_survives_rotation[webkit-portrait]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"One generated test per operation in the spec.

    `call_and_validate` runs the built-in checks: not_a_server_error,
    status_code_conformance, content_type_conformance, response_schema_conformance,
    positive_data_acceptance. A failure prints a curl command that reproduces it —
    paste that straight into a ticket.

    ### Triage log (read this — it is the real lesson)

    Three findings came out of the first runs of this single test:

      1. *Undocumented status code 400/401* — REAL. The service returns them;
         the spec never mentioned them. Fixed by documenting them (sut/app.py).
      2. *Response schema mismatch on 422* — REAL, and self-inflicted by the fix
         for (1): we declared `detail: string` while FastAPI returns a list of
         error objects. Fixed by removing the wrong override.
      3. *`positive_data_acceptance` on `?in_stock=null`* — NOT a product bug.
         An optional query parameter is `boolean | null` in the schema, but a
         URL query string has no way to express JSON `null`; the generator sends
         the literal text ""null"" and the server correctly rejects it. This is a
         limitation of OpenAPI's expressiveness, not a defect.

    Finding (3) is excluded below, *with the reason recorded next to the code*.
    Excluding a check without writing down why is how contract testing decays
    into a permanently-yellow job everyone ignores.

    A fourth finding appeared later, and only under `pytest -n 4`: an
    intermittent `FailedHealthCheck: Too many generated examples are filtered
    out`. Also not a product bug — see the `filter_too_much` note on the
    settings below. Two lessons in one test: generated-testing tools produce
    findings about *themselves* as well as about the system, and a flake that
    only appears in parallel is still a flake that must be diagnosed rather
    than retried.
    ","576","test_api_conforms_to_its_openapi_spec[DELETE /api/cart/items/{product_id}]","tests.services","2026-08-14","passed","2026-08-14","","test_contract_and_properties","",""
"","455","test_device_reports_a_mobile_user_agent[iPad (gen 7)-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"The single most valuable mobile-web assertion: does the responsive
    breakpoint actually fire on real device widths?","145","test_layout_collapses_to_a_mobile_nav[Pixel 7-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","395","test_mobile_nav_opens_and_is_announced[Pixel 7-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","3","test_adding_unknown_product_is_rejected[-1]","tests.services","2026-08-14","passed","2026-08-14","","test_cart_flow","",""
"Horizontal overflow is *the* mobile bug: an element wider than the
    viewport, usually a table or an unbroken string. Cheap to detect, and
    nobody notices it in a desktop browser.","385","test_no_horizontal_scrolling[iPad (gen 7)-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Latency injection. Catches missing loading states and premature asserts
    in the app's own code.","1949","test_slow_api_does_not_break_the_page[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"","3","test_limit_parameter_boundaries[1-200]","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"","3","test_protected_endpoint_requires_valid_bearer_token[bearer lowercase-scheme-valid-token-shape]","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"Horizontal overflow is *the* mobile bug: an element wider than the
    viewport, usually a table or an unbroken string. Cheap to detect, and
    nobody notices it in a desktop browser.","334","test_no_horizontal_scrolling[Galaxy S9+-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"A 404 for ""no results"" is a classic API design mistake — an empty
    collection is not a missing resource. Worth asserting explicitly.","4","test_search_with_no_matches_returns_empty_list_not_error","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"Assert on the message the user reads, not on an internal state flag.
    A test that passes while the user sees a blank box is worse than no test.","241","test_login_errors_are_shown_to_the_user[chromium---Username and password are required]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"","158","test_password_field_is_masked[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"Boundary-value analysis, done properly: min, min-1, max, max+1, and the
    type boundary. Three of these five rows have caught real defects in the
    author's experience; the middle-of-range value has caught none.","8","test_quantity_boundaries[100-422-above maximum]","tests.services","2026-08-14","passed","2026-08-14","","test_cart_flow","",""
"WCAG 2.2 (2.5.8) asks for 24x24 CSS px; iOS HIG and Material both say 44-48.
    This asserts the stricter, humane 44px on interactive controls.","200","test_touch_targets_meet_the_minimum_size[iPad (gen 7)-webkit]","tests.web","2026-08-14","skipped","2026-08-14","","test_mobile_web","",""
"Tab order and Enter-to-submit. A surprising number of production forms
    fail this, and it costs one test to know.","460","test_login_form_is_keyboard_operable[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"Assert on the message the user reads, not on an internal state flag.
    A test that passes while the user sees a blank box is worse than no test.","722","test_login_errors_are_shown_to_the_user[firefox-ghost-wonderland-Invalid credentials]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"","3","test_limit_caps_the_result_size","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"The mobile journey, tap by tap. Same Page Objects as the desktop test —
    the only mobile-specific step is opening the nav.","2148","test_can_complete_a_purchase_on_a_phone[Pixel 7-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","262","test_mobile_nav_opens_and_is_announced[iPhone 15-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","187","test_mobile_nav_opens_and_is_announced[Pixel 7-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Gate on `serious` and `critical` only.

    Gating on every impact level from day one on a legacy app produces a red
    build nobody can fix this sprint, and the job gets disabled within a week.
    Ratchet the threshold down over time instead — that strategy actually ships.
    ","1898","test_public_pages_have_no_serious_accessibility_violations[firefox-/]","tests.web","2026-08-14","passed","2026-08-14","","test_accessibility_and_visual","",""
"","3","test_protected_endpoint_requires_valid_bearer_token[Bearer]","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"WCAG 2.2 (2.5.8) asks for 24x24 CSS px; iOS HIG and Material both say 44-48.
    This asserts the stricter, humane 44px on interactive controls.","219","test_touch_targets_meet_the_minimum_size[Pixel 7-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"`role=""alert""` is what makes a screen reader speak the error. Without it
    a blind user gets silence after pressing the button.","987","test_error_message_is_announced_to_assistive_technology[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"Gate on `serious` and `critical` only.

    Gating on every impact level from day one on a legacy app produces a red
    build nobody can fix this sprint, and the job gets disabled within a week.
    Ratchet the threshold down over time instead — that strategy actually ships.
    ","1225","test_public_pages_have_no_serious_accessibility_violations[webkit-/]","tests.web","2026-08-14","passed","2026-08-14","","test_accessibility_and_visual","",""
"WCAG 2.2 (2.5.8) asks for 24x24 CSS px; iOS HIG and Material both say 44-48.
    This asserts the stricter, humane 44px on interactive controls.","374","test_touch_targets_meet_the_minimum_size[Pixel 7-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","305","test_search_filters_the_grid[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Validation errors must be 4xx and must never be 5xx.

    A 500 on bad input means the input reached code that didn't expect it — the
    exact shape of bug that turns into a security finding later.
    ","3","test_login_rejects_malformed_payloads[payload5-wrong types]","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"","494","test_add_to_cart_updates_the_badge[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Validation errors must be 4xx and must never be 5xx.

    A 500 on bad input means the input reached code that didn't expect it — the
    exact shape of bug that turns into a security finding later.
    ","5","test_login_rejects_malformed_payloads[payload4-oversized username]","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"The single most valuable mobile-web assertion: does the responsive
    breakpoint actually fire on real device widths?","187","test_layout_collapses_to_a_mobile_nav[Galaxy S9+-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Latency injection. Catches missing loading states and premature asserts
    in the app's own code.","2091","test_slow_api_does_not_break_the_page[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"","374","test_anonymous_user_is_sent_to_login_when_adding_to_cart[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"","3","test_adding_unknown_product_is_rejected[0]","tests.services","2026-08-14","passed","2026-08-14","","test_cart_flow","",""
"","329","test_session_persists_across_reload[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"Assert on the message the user reads, not on an internal state flag.
    A test that passes while the user sees a blank box is worse than no test.","708","test_login_errors_are_shown_to_the_user[firefox-alice--Username and password are required]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"","7","test_protected_endpoint_requires_valid_bearer_token[wonderland]","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"","452","test_user_can_log_in_with_valid_credentials[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"Rotation is a state change most suites never exercise — and a reliable
    source of clipped headers and stuck modals.","1629","test_layout_survives_rotation[firefox-portrait]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Latency injection. Catches missing loading states and premature asserts
    in the app's own code.","2131","test_slow_api_does_not_break_the_page[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Precondition via API, verification via UI — the pattern to default to.","622","test_removing_an_item_updates_the_total[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Font size below 12px on a phone is a real usability defect and a common
    consequence of reusing desktop CSS.","231","test_content_is_readable_without_zooming[Galaxy S9+-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","244","test_device_reports_a_mobile_user_agent[Pixel 7-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"A behaviour worth pinning down: does the API *merge* lines or *append*
    duplicates? Both are defensible designs; only one matches the spec, and an
    unpinned choice will silently flip during a refactor.","13","test_adding_same_product_twice_increments_quantity","tests.services","2026-08-14","passed","2026-08-14","","test_cart_flow","",""
"","7","test_limit_parameter_boundaries[many-422]","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"","314","test_cart_survives_a_page_reload[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Horizontal overflow is *the* mobile bug: an element wider than the
    viewport, usually a table or an unbroken string. Cheap to detect, and
    nobody notices it in a desktop browser.","316","test_no_horizontal_scrolling[Pixel 7-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","166","test_product_grid_renders_the_catalogue[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"BOLA / IDOR check — OWASP API Security's #1 risk.

    Every resource-by-id endpoint deserves this test. It is three lines and it
    finds the single most commonly exploited API vulnerability.

    This one currently FAILS against the SUT, on purpose. Note how the defect is
    handled: `xfail(strict=True)` with a ticket id. The build stays green *and*
    the moment someone fixes SHOP-114 the xpass turns the build red, forcing the
    marker to be removed. A commented-out test or a `skip` would have silently
    rotted instead.
    ","8","test_order_belongs_to_its_owner","tests.services","2026-08-14","skipped","2026-08-14","","test_cart_flow","",""
"Network shaping via CDP. Emulating a slow link surfaces missing loading
    states and races that a gigabit office connection hides completely.

    CDP is a Chromium protocol, so this test cannot run on Firefox or WebKit —
    the first cross-browser CI run failed here with ""CDP session is only
    available in Chromium"". Skipping with an explicit reason is the honest fix:
    the capability genuinely does not exist elsewhere, and a silent pass would
    misrepresent the coverage. For latency on other engines, fall back to
    `page.route` with a delay in the handler, which works everywhere.
    ","2375","test_page_works_on_a_slow_3g_connection[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","231","test_checkout_button_is_disabled_for_an_empty_cart[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Assert on the message the user reads, not on an internal state flag.
    A test that passes while the user sees a blank box is worse than no test.","431","test_login_errors_are_shown_to_the_user[webkit---Username and password are required]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"","168","test_device_reports_a_mobile_user_agent[Galaxy S9+-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"The single most valuable mobile-web assertion: does the responsive
    breakpoint actually fire on real device widths?","341","test_layout_collapses_to_a_mobile_nav[Pixel 7-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","6","test_limit_parameter_boundaries[-5-422]","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"Injection strings should be *data*, not code.

    Deliberately `parametrize`, not `@given(st.sampled_from(...))`: when the
    inputs are a fixed, hand-curated list, parametrize gives one test id per
    payload, works with function-scoped fixtures, and doesn't pay Hypothesis's
    machinery cost. Reach for Hypothesis when you want inputs you did *not*
    think of — see the fuzz test above.
    ","8","test_search_rejects_injection_payloads_safely[../../etc/passwd]","tests.services","2026-08-14","passed","2026-08-14","","test_contract_and_properties","",""
"","157","test_checkout_button_is_disabled_for_an_empty_cart[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"","5","test_search_is_case_insensitive_substring_match[  -None]","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"A retried POST can create two orders. This test is the guardrail that
    stops a well-meaning future change from making POST retryable.","38","test_api_client_does_not_retry_post","tests.services","2026-08-14","passed","2026-08-14","","test_contract_and_properties","",""
"Horizontal overflow is *the* mobile bug: an element wider than the
    viewport, usually a table or an unbroken string. Cheap to detect, and
    nobody notices it in a desktop browser.","212","test_no_horizontal_scrolling[Pixel 7-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","4","test_adding_unknown_product_is_rejected[abc]","tests.services","2026-08-14","passed","2026-08-14","","test_cart_flow","",""
"","636","test_add_to_cart_updates_the_badge[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"WCAG 2.2 (2.5.8) asks for 24x24 CSS px; iOS HIG and Material both say 44-48.
    This asserts the stricter, humane 44px on interactive controls.","242","test_touch_targets_meet_the_minimum_size[iPhone 15-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Removing focus outlines without a replacement locks out keyboard users.
    Checks that *something* changes visually when a control is focused.","308","test_keyboard_focus_is_visible[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_accessibility_and_visual","",""
"Assert on the message the user reads, not on an internal state flag.
    A test that passes while the user sees a blank box is worse than no test.","452","test_login_errors_are_shown_to_the_user[webkit-alice-nope-Invalid credentials]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"Network shaping via CDP. Emulating a slow link surfaces missing loading
    states and races that a gigabit office connection hides completely.

    CDP is a Chromium protocol, so this test cannot run on Firefox or WebKit —
    the first cross-browser CI run failed here with ""CDP session is only
    available in Chromium"". Skipping with an explicit reason is the honest fix:
    the capability genuinely does not exist elsewhere, and a silent pass would
    misrepresent the coverage. For latency on other engines, fall back to
    `page.route` with a delay in the handler, which works everywhere.
    ","1","test_page_works_on_a_slow_3g_connection[webkit]","tests.web","2026-08-14","skipped","2026-08-14","","test_mobile_web","",""
"The one true end-to-end test: browse -> add -> cart -> checkout.

    A suite needs a handful of these and no more. They are the most expensive
    tests you own and the first to go flaky; every additional one buys less
    coverage than an API test costing 1% as much.
    ","1015","test_complete_purchase_journey[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Proves the retry policy without needing a flaky server.

    Every piece of ""clever"" framework logic — retries, backoff, token refresh —
    needs a test like this, or it is untrustworthy exactly when it matters.
    ","1033","test_api_client_retries_transient_5xx_on_idempotent_requests","tests.services","2026-08-14","passed","2026-08-14","","test_contract_and_properties","",""
"Injection strings should be *data*, not code.

    Deliberately `parametrize`, not `@given(st.sampled_from(...))`: when the
    inputs are a fixed, hand-curated list, parametrize gives one test id per
    payload, works with function-scoped fixtures, and doesn't pay Hypothesis's
    machinery cost. Reach for Hypothesis when you want inputs you did *not*
    think of — see the fuzz test above.
    ","4","test_search_rejects_injection_payloads_safely[<script>alert(1)</script>]","tests.services","2026-08-14","passed","2026-08-14","","test_contract_and_properties","",""
"WCAG 2.2 (2.5.8) asks for 24x24 CSS px; iOS HIG and Material both say 44-48.
    This asserts the stricter, humane 44px on interactive controls.","185","test_touch_targets_meet_the_minimum_size[iPad (gen 7)-chromium]","tests.web","2026-08-14","skipped","2026-08-14","","test_mobile_web","",""
"Multi-tenancy isolation — the bug class that makes headlines.

    Two fixtures, two real sessions. This is why `api_client` is function-scoped:
    a shared client could not express this scenario at all.
    ","18","test_two_users_have_isolated_carts","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"","635","test_logout_clears_the_session[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"One table, five behaviours. Note the ids: a failing run says
    `test_login_rejects_bad_credentials[username case mismatch]`, so triage
    starts before you open the log.","3","test_login_rejects_bad_credentials[alice-wonderland -trailing whitespace in password]","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"","217","test_mobile_nav_opens_and_is_announced[Galaxy S9+-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","6","test_checkout_with_empty_cart_is_rejected","tests.services","2026-08-14","passed","2026-08-14","","test_cart_flow","",""
"Horizontal overflow is *the* mobile bug: an element wider than the
    viewport, usually a table or an unbroken string. Cheap to detect, and
    nobody notices it in a desktop browser.","187","test_no_horizontal_scrolling[iPad (gen 7)-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","185","test_page_has_exactly_one_h1_and_a_language[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_accessibility_and_visual","",""
"","206","test_out_of_stock_products_cannot_be_added[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"The single most valuable mobile-web assertion: does the responsive
    breakpoint actually fire on real device widths?","333","test_layout_collapses_to_a_mobile_nav[iPad (gen 7)-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"The mobile journey, tap by tap. Same Page Objects as the desktop test —
    the only mobile-specific step is opening the nav.","627","test_can_complete_a_purchase_on_a_phone[Pixel 7-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","263","test_add_to_cart_updates_the_badge[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Gate on `serious` and `critical` only.

    Gating on every impact level from day one on a legacy app produces a red
    build nobody can fix this sprint, and the job gets disabled within a week.
    Ratchet the threshold down over time instead — that strategy actually ships.
    ","823","test_public_pages_have_no_serious_accessibility_violations[firefox-/login]","tests.web","2026-08-14","passed","2026-08-14","","test_accessibility_and_visual","",""
"","132","test_device_reports_a_mobile_user_agent[Pixel 7-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Cross-layer consistency — my favourite kind of test.

    The UI must render exactly what the API serves. This catches client-side
    filtering, pagination and caching bugs that neither layer finds alone.
    ","386","test_ui_and_api_agree_on_the_catalogue[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"","311","test_password_field_is_masked[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"","539","test_anonymous_user_is_sent_to_login_when_adding_to_cart[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Gate on `serious` and `critical` only.

    Gating on every impact level from day one on a legacy app produces a red
    build nobody can fix this sprint, and the job gets disabled within a week.
    Ratchet the threshold down over time instead — that strategy actually ships.
    ","865","test_public_pages_have_no_serious_accessibility_violations[webkit-/login]","tests.web","2026-08-14","passed","2026-08-14","","test_accessibility_and_visual","",""
"Boundary-value analysis, done properly: min, min-1, max, max+1, and the
    type boundary. Three of these five rows have caught real defects in the
    author's experience; the middle-of-range value has caught none.","10","test_quantity_boundaries[2-201-numeric string \u2014 coerced by the API]","tests.services","2026-08-14","passed","2026-08-14","","test_cart_flow","",""
"Font size below 12px on a phone is a real usability defect and a common
    consequence of reusing desktop CSS.","280","test_content_is_readable_without_zooming[Pixel 7-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","5","test_filter_by_category_returns_only_that_category[input]","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"","2","test_remove_item_updates_total","tests.services","2026-08-14","passed","2026-08-14","","test_cart_flow","",""
"","4","test_filter_by_category_returns_only_that_category[video]","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"","3","test_protected_endpoint_requires_valid_bearer_token[]","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"Boundary-value analysis, done properly: min, min-1, max, max+1, and the
    type boundary. Three of these five rows have caught real defects in the
    author's experience; the middle-of-range value has caught none.","9","test_quantity_boundaries[99-201-maximum valid]","tests.services","2026-08-14","passed","2026-08-14","","test_cart_flow","",""
"","421","test_checkout_button_is_disabled_for_an_empty_cart[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Documentation drift check. If an endpoint the suite exercises disappears
    from the spec, someone changed the contract without updating the docs.","0","test_openapi_declares_every_endpoint_the_tests_use","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"The invariant, not the example.

    Note the health-check suppression: `shop_as_user` is function-scoped, so
    Hypothesis reuses it across examples. That is acceptable *only* because the
    test resets the cart itself. Read that as the general rule — if you suppress
    `function_scoped_fixture`, you have taken responsibility for isolation.
    ","550","test_cart_total_always_equals_sum_of_lines","tests.services","2026-08-14","passed","2026-08-14","","test_contract_and_properties","",""
"Gate on `serious` and `critical` only.

    Gating on every impact level from day one on a legacy app produces a red
    build nobody can fix this sprint, and the job gets disabled within a week.
    Ratchet the threshold down over time instead — that strategy actually ships.
    ","657","test_public_pages_have_no_serious_accessibility_violations[chromium-/login]","tests.web","2026-08-14","passed","2026-08-14","","test_accessibility_and_visual","",""
"","15","test_cart_total_is_sum_of_line_totals","tests.services","2026-08-14","passed","2026-08-14","","test_cart_flow","",""
"Rotation is a state change most suites never exercise — and a reliable
    source of clipped headers and stuck modals.","380","test_layout_survives_rotation[chromium-portrait]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","5","test_filter_by_category_returns_only_that_category[display]","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"A control with no accessible name is announced as ""button"" — useless.
    This check is narrow, deterministic and catches the single most common
    real-world a11y defect.","430","test_every_interactive_control_has_an_accessible_name[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_accessibility_and_visual","",""
"The mobile journey, tap by tap. Same Page Objects as the desktop test —
    the only mobile-specific step is opening the nav.","1213","test_can_complete_a_purchase_on_a_phone[iPhone 15-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"One table, five behaviours. Note the ids: a failing run says
    `test_login_rejects_bad_credentials[username case mismatch]`, so triage
    starts before you open the log.","3","test_login_rejects_bad_credentials[alice-wrong-password-wrong password]","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"","647","test_search_filters_the_grid[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"The mobile journey, tap by tap. Same Page Objects as the desktop test —
    the only mobile-specific step is opening the nav.","933","test_can_complete_a_purchase_on_a_phone[iPad (gen 7)-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Precondition via API, verification via UI — the pattern to default to.","395","test_removing_an_item_updates_the_total[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"","3","test_non_numeric_product_id_returns_422_not_500","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"Validation errors must be 4xx and must never be 5xx.

    A 500 on bad input means the input reached code that didn't expect it — the
    exact shape of bug that turns into a security finding later.
    ","5","test_login_rejects_malformed_payloads[payload2-missing username]","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"Horizontal overflow is *the* mobile bug: an element wider than the
    viewport, usually a table or an unbroken string. Cheap to detect, and
    nobody notices it in a desktop browser.","188","test_no_horizontal_scrolling[iPhone 15-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Precondition via API, verification via UI — the pattern to default to.","271","test_removing_an_item_updates_the_total[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Fault injection via route interception.

    Playwright can intercept network traffic, which lets a UI test cover the
    error paths QA normally can't reach: 500s, timeouts, empty responses.
    These branches are almost never manually tested and almost always broken.
    ","705","test_api_failure_is_surfaced_to_the_user[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"The mobile journey, tap by tap. Same Page Objects as the desktop test —
    the only mobile-specific step is opening the nav.","1462","test_can_complete_a_purchase_on_a_phone[Galaxy S9+-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Assert on the message the user reads, not on an internal state flag.
    A test that passes while the user sees a blank box is worse than no test.","327","test_login_errors_are_shown_to_the_user[chromium--wonderland-Username and password are required]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"","322","test_device_reports_a_mobile_user_agent[iPad (gen 7)-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Relational assertion — stronger than hardcoding counts, and it survives
    the catalogue growing. Prefer invariants over magic numbers.","9","test_filter_by_category_is_a_subset_of_the_full_catalogue","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"","128","test_device_reports_a_mobile_user_agent[iPhone 15-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"The single most valuable mobile-web assertion: does the responsive
    breakpoint actually fire on real device widths?","388","test_layout_collapses_to_a_mobile_nav[Galaxy S9+-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Cross-layer consistency — my favourite kind of test.

    The UI must render exactly what the API serves. This catches client-side
    filtering, pagination and caching bugs that neither layer finds alone.
    ","266","test_ui_and_api_agree_on_the_catalogue[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
